GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Crypto,org.apache.commons.crypto.cipher,Openssl.AlgorithmMode,0,68,0,0,0,6,0,5,0,5
Apache Commons Crypto,org.apache.commons.crypto.cipher,CipherTransformation,82,57,4,0,10,10,6,4,4,4
Apache Commons Crypto,org.apache.commons.crypto.cipher,CipherFactory,19,98,2,8,7,21,3,7,1,4
Apache Commons Crypto,org.apache.commons.crypto.cipher,Openssl.Padding,0,55,0,0,0,6,0,5,0,5
Apache Commons Crypto,org.apache.commons.crypto.cipher,JceCipher,18,75,3,3,2,20,3,9,1,8
Apache Commons Crypto,org.apache.commons.crypto.cipher,Openssl.Transform,0,12,0,0,0,5,0,1,0,1
Apache Commons Crypto,org.apache.commons.crypto.cipher,OpensslCipher,5,95,1,3,1,24,1,10,0,9
Apache Commons Crypto,org.apache.commons.crypto.cipher,Openssl,37,226,8,12,7,50,9,14,1,12
Apache Commons Crypto,org.apache.commons.crypto.cipher,OpensslNative,3,0,0,0,1,0,1,0,1,0
Apache Commons Crypto,org.apache.commons.crypto.conf,ConfigurationKeys,3,4,0,0,1,1,1,1,1,1
Apache Commons Crypto,org.apache.commons.crypto.random,OpensslSecureRandomNative,3,0,0,0,1,0,1,0,1,0
Apache Commons Crypto,org.apache.commons.crypto.random,JavaSecureRandom,11,22,0,0,2,8,0,4,0,4
Apache Commons Crypto,org.apache.commons.crypto.random,OpensslSecureRandom,71,31,13,5,14,16,11,5,2,5
Apache Commons Crypto,org.apache.commons.crypto.random,OsSecureRandom,55,123,2,6,12,31,2,8,1,5
Apache Commons Crypto,org.apache.commons.crypto.random,SecureRandomFactory,24,46,5,5,8,11,6,2,1,2
Apache Commons Crypto,org.apache.commons.crypto.stream.input,ChannelInput,14,71,1,7,4,21,4,8,3,5
Apache Commons Crypto,org.apache.commons.crypto.stream.input,StreamInput,14,76,1,9,3,24,4,9,3,5
Apache Commons Crypto,org.apache.commons.crypto.stream.output,ChannelOutput,0,16,0,0,0,7,0,4,0,4
Apache Commons Crypto,org.apache.commons.crypto.stream.output,StreamOutput,0,61,0,4,0,21,0,7,0,5
Apache Commons Crypto,org.apache.commons.crypto.utils,ReflectionUtils,90,139,17,13,24,36,13,9,3,4
Apache Commons Crypto,org.apache.commons.crypto.utils,IOUtils,25,76,6,10,5,21,5,7,1,3
Apache Commons Crypto,org.apache.commons.crypto.utils,ReflectionUtils.NegativeCacheSentinel,3,0,0,0,1,0,1,0,1,0
Apache Commons Crypto,org.apache.commons.crypto.utils,Utils,106,214,27,27,28,57,23,24,3,17
Apache Commons Crypto,org.apache.commons.crypto.utils,OSInfo,102,174,17,5,26,37,14,5,3,5
Apache Commons Crypto,org.apache.commons.crypto.utils,NativeCodeLoader,204,260,45,27,36,71,35,9,1,7
Apache Commons Crypto,org.apache.commons.crypto.stream,CipherOutputStream,102,297,9,15,24,85,12,16,4,12
Apache Commons Crypto,org.apache.commons.crypto.stream,CTRCipherOutputStream,101,186,4,6,25,44,9,11,5,10
Apache Commons Crypto,org.apache.commons.crypto.stream,CTRCipherInputStream,225,479,17,33,49,110,22,29,6,20
Apache Commons Crypto,org.apache.commons.crypto.stream,CipherInputStream,116,405,15,33,33,109,20,29,5,20
Apache Commons Crypto,org.apache.commons.crypto.stream,PositionedCipherInputStream,93,298,8,20,23,84,10,20,2,14
Apache Commons Crypto,org.apache.commons.crypto.stream,PositionedCipherInputStream.CipherState,0,22,0,0,0,8,0,4,0,4
